issue_number,OriginationPhase,DetectionPhase,Category,Priority,Status,created_at,closed_at,Author
1,Requirements,Coding,Bug,Critical,Approved,2/24/2019,,"Smith, Electa"
2,Design,Testing,Enhancement,High,Approved,2/25/2019,,"Murazik, Meagan"
3,Requirements,Design,Inquiry,Low,Rejected,2/26/2019,3/7/2019,"Predovic, Scarlett"
4,Testing,Field,Bug,High,Completed,2/27/2019,3/8/2019,"Wehner, Lambert"
5,Documentation,Field,Enhancement,Major,pendingReview,2/28/2019,,"Bauch, Frederick"
6,Design,Coding,Inquiry,High,inProgress,3/1/2019,,"Klein, Ron"
7,Coding,Testing,Bug,Low,Completed,3/2/2019,3/11/2019,"Stehr, Isabell"
8,Testing,Field,Enhancement,Medium,Completed,3/3/2019,3/12/2019,"Cummerata, Mac"
9,Design,Testing,Inquiry,Critical,Approved,3/4/2019,,"Okuneva, Ona"
10,Requirements,Coding,Bug,High,inProgress,3/5/2019,,"Gleichner, Maci"
11,Requirements,Design,Inquiry,Low,Rejected,2/26/2019,3/17/2019,"Stanton, Veronica"
12,Testing,Field,Bug,Medium,Completed,2/27/2019,3/18/2019,"Hegmann, Price"
13,Documentation,Field,Enhancement,Major,pendingReview,2/28/2019,,"Brakus, Shaina"
14,Design,Coding,Inquiry,High,inProgress,3/1/2019,,"Raynor, Werner"
15,Coding,Testing,Bug,Low,Completed,3/2/2019,3/3/2019,"Schinner, Elinore"
16,Design,Coding,Inquiry,High,inProgress,3/3/2019,,"Hermann, Bradford"
17,Coding,Testing,Bug,Low,Completed,3/4/2019,3/15/2019,"Harber, Mallory"
18,Testing,Field,Enhancement,Medium,Completed,3/5/2019,3/16/2019,"Kreiger, Rupert"
19,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Maggio, Jerod"
20,Requirements,Coding,Bug,High,inProgress,3/7/2019,,"Ernser, Amina"
21,Requirements,Design,Inquiry,Low,Rejected,3/8/2019,3/19/2019,"McClure, Hailey"
22,Testing,Field,Bug,Medium,Completed,3/9/2019,3/10/2019,"Ernser, Amina"
23,Documentation,Field,Inquiry,Major,pendingReview,3/10/2019,,"Farrell, Calista"
24,Design,Testing,Enhancement,High,Approved,3/11/2019,,"Stanton, Veronica"
25,Requirements,Design,Inquiry,Low,Rejected,3/12/2019,3/13/2019,"Lueilwitz, Yessenia"
26,Testing,Field,Bug,Medium,Completed,8/13/2019,,"Bode, Jude"
27,Documentation,Field,Enhancement,Major,pendingReview,8/14/2019,,"Raynor, Werner"
28,Design,Testing,Inquiry,Critical,Approved,8/15/2019,,"Howell, Emelie"
29,Requirements,Coding,Bug,High,inProgress,8/16/2019,,"Jones, Lelia"
30,Requirements,Design,Inquiry,Low,Rejected,3/17/2019,3/25/2019,"Rogahn, Montana"
31,Testing,Field,Bug,Medium,Completed,3/18/2019,3/26/2019,"McClure, Hailey"
32,Documentation,Field,Enhancement,Major,pendingReview,3/19/2019,,"Hauck, Hiram"
33,Design,Coding,Inquiry,High,inProgress,3/20/2019,,"Padberg, Jefferey"
34,Requirements,Testing,Bug,High,Completed,3/17/2019,3/25/2019,"Raynor, Werner"
35,Testing,Field,Bug,Medium,Completed,2/27/2019,3/18/2019,"Farrell, Calista"
36,Documentation,Field,Enhancement,Major,pendingReview,2/28/2019,,"Zboncak, Ruth"
37,Design,Coding,Inquiry,High,inProgress,3/1/2019,,"Farrell, Calista"
38,Testing,Field,Enhancement,Medium,Completed,3/5/2019,3/16/2019,"Harber, Mallory"
39,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Keeling, Cheyenne"
40,Requirements,Coding,Bug,Critical,inProgress,3/7/2019,,"Wehner, Lambert"
41,Requirements,Design,Inquiry,Low,Rejected,3/8/2019,3/19/2019,"Abbott, Werner"
42,Testing,Field,Bug,Medium,Completed,3/9/2019,3/10/2019,"Murray, Noelia"
43,Documentation,Field,Inquiry,Major,pendingReview,3/10/2019,,"Abbott, Werner"
44,Design,Testing,Enhancement,High,Approved,3/11/2019,,"Gleichner, Maci"
45,Requirements,Design,Inquiry,Low,Rejected,3/12/2019,3/13/2019,"Walter, Marcus"
46,Testing,Field,Inquiry,Medium,Completed,2/13/2019,3/7/2019,"Okuneva, Ona"
47,Documentation,Field,Inquiry,Major,pendingReview,2/14/2019,,"Murazik, Meagan"
48,Design,Testing,Inquiry,Critical,Approved,2/15/2019,,"Farrell, Calista"
49,Requirements,Coding,Inquiry,High,inProgress,2/16/2019,,"Jones, Justen"
50,Requirements,Design,Inquiry,Low,Rejected,2/17/2019,3/11/2019,"Padberg, Jefferey"
51,Testing,Field,Bug,Medium,Completed,2/18/2019,3/12/2019,"Reichert, Yvette"
